epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2614,1.29661,5.55555,1.39774,0.00358,0.62339,0.05285,0.03679,0.95353,4.10674,1.13179,0.000271356,0.000271356,0.000271356
2,31.13,1.07356,4.36383,1.19608,0.12297,0.21835,0.09082,0.06919,0.95686,3.76232,1.12134,0.000546305,0.000546305,0.000546305
3,46.1601,1.01306,3.85589,1.16848,0.11179,0.27149,0.08907,0.06638,1.02545,3.8021,1.17433,0.000818505,0.000818505,0.000818505
4,61.317,1.03816,3.60733,1.17581,0.15467,0.27215,0.14376,0.11223,1.03066,3.48825,1.18899,0.00082063,0.00082063,0.00082063
5,76.1126,1.03275,3.41435,1.16552,0.41122,0.2308,0.25234,0.18913,1.01702,2.93173,1.22838,0.000816507,0.000816507,0.000816507
6,91.1066,1.01702,3.20794,1.16096,0.31414,0.21399,0.24253,0.18851,0.87902,2.84729,1.09776,0.000812383,0.000812383,0.000812383
7,106.02,0.94376,2.91894,1.11122,0.26859,0.38479,0.2742,0.20766,0.89249,2.75606,1.067,0.00080826,0.00080826,0.00080826
8,123.257,0.94705,2.74846,1.11243,0.40822,0.46096,0.3202,0.25282,0.80982,2.36689,1.02542,0.000804137,0.000804137,0.000804137
9,140.417,0.88369,2.6016,1.08421,0.30981,0.43225,0.31116,0.25245,0.83332,2.30721,1.0783,0.000800013,0.000800013,0.000800013
10,156.188,0.90608,2.39445,1.08508,0.34335,0.38071,0.35981,0.28952,0.81854,2.0903,1.04471,0.00079589,0.00079589,0.00079589
11,171.392,0.8688,2.30133,1.06854,0.22428,0.50474,0.31395,0.24575,0.83048,2.08181,1.05631,0.000791767,0.000791767,0.000791767
12,186.463,0.86896,2.18824,1.08389,0.30235,0.52508,0.39415,0.32365,0.76412,1.86929,1.03144,0.000787643,0.000787643,0.000787643
13,201.27,0.85491,2.06029,1.08214,0.31891,0.54782,0.37267,0.29026,0.81232,2.01796,1.05858,0.00078352,0.00078352,0.00078352
14,215.955,0.83598,1.94751,1.06098,0.53913,0.33195,0.45893,0.37375,0.77472,1.7671,1.01588,0.000779396,0.000779396,0.000779396
